,q_gender,q_age,q_occupation,q_is_game_developer,q_playing_on#consoles,q_playing_on#mobile_consoles,q_playing_on#mobile_devices,q_playing_on#pc,q_playing_on#tv,q_playing_on#virtual_reality,q_play_strategy_games,q_strategy_games_like#4x,q_strategy_games_like#city_builders,q_strategy_games_like#decision_driven,q_strategy_games_like#grand_strategies,q_strategy_games_like#roguelike,q_strategy_games_like#rts,q_strategy_games_like#tactics,q_strategy_games_like#tycoon,q_know_about_new_games#advertising,q_know_about_new_games#coworkers,q_know_about_new_games#do_not_search,q_know_about_new_games#free_search,q_know_about_new_games#friends,q_know_about_new_games#game_stores,q_know_about_new_games#personalized_news,q_know_about_new_games#social_networks,q_know_about_new_games#specialized_sites,q_know_about_new_games#video_services,q_playing_effort,q_like_in_games#achievements,q_like_in_games#changing_game_world,q_like_in_games#collecting,q_like_in_games#creating_strategies,q_like_in_games#customizing,q_like_in_games#exploring,q_like_in_games#looting,q_like_in_games#messing_with_game_rules,q_like_in_games#overcoming_challenges,q_like_in_games#risking,q_like_in_games#roleplaying,q_like_in_games#solving_puzzles,q_like_in_games#story,q_like_in_games#what_if_scenarious,q_rpg_elements,q_multiple_channels_esential,q_channels#augmented_reality,q_channels#chats,q_channels#magic_creatures,q_channels#magic_devices,q_channels#mobile_application,q_channels#neural_implants,q_channels#news_in_vr,q_channels#online_radio,q_channels#social_networks,q_channels#traditional_newspaper,q_channels#traditional_radio,q_channels#traditional_tv,q_channels#web_portal,q_channels#youtube,q_realistic_work,q_concurrent_agencies,q_max_agency_size,q_budget_effort,q_relationships_effort,q_office_effort,q_plot_style#adventure,q_plot_style#conspirology,q_plot_style#cyberpunk,q_plot_style#documentary,q_plot_style#fairy_tale,q_plot_style#fantasy,q_plot_style#historic,q_plot_style#mystery,q_plot_style#noir,q_plot_style#paranormal,q_plot_style#scifi,q_plot_style#urban_legends,q_morale_complexity,q_world_style#bright,q_world_style#colorful,q_world_style#complex,q_world_style#dark,q_world_style#dark_humorous,q_world_style#depressing,q_world_style#dull,q_world_style#dystopian,q_world_style#gray,q_world_style#happy,q_world_style#humorous,q_world_style#imaginative,q_world_style#inspirational,q_world_style#polite,q_world_style#realistic,q_world_style#sarcastic,q_world_style#simple,q_world_style#utopian
0,male,37,sabbatical,yes,0,0,1,1,0,1,8,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,7,0,1,0,1,0,1,0,0,1,0,1,0,0,0,9,7,0,0,1,0,0,1,0,0,1,1,0,0,1,0,8,few,up_to_25,3,8,3,0,1,0,0,0,0,0,0,0,1,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2,male,25,employment,no,1,0,1,1,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,5,1,0,0,0,1,0,0,0,0,0,1,0,1,0,5,8,0,0,0,0,1,0,0,0,1,1,0,0,1,0,10,,bureaucratic_empire,7,7,5,0,1,1,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
3,female,40,employment,yes,0,1,0,1,0,0,6,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,5,0,0,0,1,0,1,0,0,0,0,0,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,few,bureaucratic_empire,4,7,5,0,1,1,0,0,0,0,0,1,0,0,1,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5,male,37,employment,yes,0,0,1,1,0,0,10,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,5,0,1,1,1,0,0,0,0,1,0,0,1,0,0,8,10,0,1,0,0,1,0,0,0,1,1,0,0,1,0,8,few,bureaucratic_empire,9,9,5,1,0,1,0,0,0,1,0,0,0,1,0,10,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
6,male,35,employment,no,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,8,9,1,1,1,0,0,0,0,1,0,0,1,0,0,0,10,few,bureaucratic_empire,9,10,2,0,1,0,0,1,0,0,0,1,0,0,1,10,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
7,male,37,employment,no,1,1,1,1,0,0,9,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,the_more_the_better,up_to_50,7,8,9,1,0,0,1,0,1,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
8,male,42,employment,no,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,male,44,employment,no,0,0,1,1,0,0,8,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,8,1,0,1,1,0,0,0,1,0,0,0,0,1,0,10,8,1,0,1,0,0,0,1,0,1,1,0,0,0,0,8,the_more_the_better,up_to_25,5,7,8,0,1,1,0,0,0,0,0,0,1,0,1,6,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
11,male,39,employment,no,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,9,1,0,0,0,0,1,0,0,1,1,0,0,1,0,8,3,0,0,1,1,1,0,0,0,0,1,0,1,0,0,8,few,up_to_25,8,8,9,0,1,0,0,1,0,0,0,0,1,0,1,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
12,male,39,sabbatical,no,0,0,0,1,0,0,8,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,8,0,1,0,1,0,1,0,0,1,0,1,0,0,0,7,10,1,0,1,1,0,1,0,0,0,1,0,0,0,0,5,few,bureaucratic_empire,10,10,10,0,0,1,0,1,1,0,0,0,0,1,0,7,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
